product_uuid,product_id,name,category,description,qr_token
fcc5b1a8-ba84-560e-b6b4-dcafd2e6bb27,415668,Olive oil,extra virgin olive oil,Sainsbury’s extra virgin olive oil (1 L); FR/UK,415668
2f5aaf4d-f290-52b2-ae38-e6cb07f8ba63,5.00044E+12,olive spray oil,olive oil,Frylight olive oil cooking spray,5.00044E+12
b23b6fc9-9c23-5e6d-bcd7-7db42db4fa00,8.00221E+12,Filippo Berio Extra Virgin Olive Oil imp,extra virgin olive oil,Filippo Berio extra virgin olive oil (500 ml),8.00221E+12
5405ddf3-f069-5d01-8c2d-85fc9656e000,4.0886E+12,Puglian Extra Virgin Oil,extra virgin olive oil,Puglian extra virgin olive oil,4.0886E+12
a813183b-0597-513e-b963-3f339221a4f1,5.03102E+12,Extra Virgin Olive Oil,extra virgin olive oil,Extra virgin olive oil (1 L),5.03102E+12
d422e9a5-6975-5596-aff5-001b831baae3,6.19151E+12,EXTRA VIRGIN OLIVE OIL,extra virgin olive oil,Terra Delyssa extra virgin olive oil (750 ml),6.19151E+12
654bce11-3fb7-5f7e-b356-880ca1f8da1f,4.06146E+12,EXTRA VIRGIN OLIVE OIL,extra virgin olive oil,Extra virgin olive oil,4.06146E+12
1af5443d-c28c-5c21-b16a-abf2419a836f,5.00012E+12,Olive Oil,olive oil,Olive oil (1 L),5.00012E+12
eabfe782-d96b-5092-b568-988710c2a215,5.00023E+12,Napolina Extra Virgin Olive Oil 500Ml,extra virgin olive oil,Napolina extra virgin olive oil (500 ml),5.00023E+12
92e0d302-ffa7-564f-8e9b-20af711d405f,4.05649E+12,Olive oil,olive oil,Olive oil (1 L),4.05649E+12
3002c67f-58b6-5264-8f3c-a18c781119c3,8.41066E+12,Extra Virgin Olive Oil,extra virgin olive oil,La Española extra virgin olive oil (1 L),8.41066E+12
106f6d0c-6738-5d2e-b830-2995d5247f0b,5.2001E+12,Extra Virgin Olive Oil From Crete,extra virgin olive oil,Extra virgin olive oil from Crete (750 ml),5.2001E+12
0125daac-d72b-5f25-b5d7-22da72fff972,5.05101E+12,Organic Extra Virgin Olive Oil,extra virgin olive oil,Organic extra virgin olive oil (500 ml),5.05101E+12
1f89eb52-0405-5468-83f6-bd7582a34797,3249659,Gala apples,fresh fruit,"Loose or prepacked Gala apples; sweet, crisp eating apples.",3249659
d6623382-73e6-5712-90c2-6cb3e6bd5d5f,8.9E+11,Apple Apple Fruit Blend On The Go,fruit snack,Portable fruit blend snack with apple as the primary ingredient.,8.9E+11
3b6523f2-cd26-55a7-80b5-8aee6f15197e,3249833,Pink Lady Apples,fresh fruit,Pink Lady apples; sweet-tart flavour and crunchy texture.,3249833
636141a5-bbc2-5a05-9b79-0bd2f8028c78,193764,Crunchy Green Apple,fresh fruit,Crisp green apple variety intended for fresh eating.,193764
ee3227f0-e29b-5e4e-931d-9e8ac1f5c245,323628,Royal gala apples,fresh fruit,"Royal Gala apples; aromatic, sweet flavour and firm bite.",323628
540eefd0-a860-56ff-bc37-a12b34e12f8e,20978365,Granny Smith Apples,fresh fruit,"Granny Smith apples; sharp, tangy and very crisp.",20978365
2281aa3b-302b-5b42-95c9-ec1bfe50ae44,3266090,Small Apples 2,fresh fruit,Small-sized apples pack; suitable for lunchboxes and snacks.,3266090
1a818840-e58d-5863-a570-867e6940b4f9,20978372,BRITISH BRAEBURN APPLES,fresh fruit,British Braeburn apples; sweet with a balanced acidity.,20978372
e623e25e-22bc-5cdf-ba82-310cb8d9c060,55369903004,NO SUGAR ADDED APPLE SNACK,fruit snack,Apple-based snack with no added sugar; ready-to-eat portion.,55369903004
d1aaf5c8-8cb6-5320-a000-aecf428b7a1c,5.05478E+12,Sweet & Juicy Royal Gala Apples,fresh fruit,Sweet and juicy Royal Gala apples; fresh eating apples.,5.05478E+12
8bdb0aa5-c595-5ae2-a847-a05e932417fc,3255278,Apple Snack Pack,fruit snack,Convenient apple snack pack; portioned for on-the-go.,3255278
e4d6eb7e-1984-594e-afea-fd7a5f396ffc,3315330,Tesco family apples,fresh fruit,Family pack of apples (mixed or selected variety) for everyday use.,3315330
